전략군,범위,모델,순위,종목코드,종목명,선정일,선정일 종가,선정일 시가총액,보유종료일,보유종료일 종가,선정일 대비 종가 등락율(%),보유기간(일),점수,비중
I,internal,I-STOCK-STRONG-RSI-V01,1,089030,테크윙,2026-03-04,51000,1889735895000,2026-03-11,65000,27.45,7,102.738854,1.0
I,internal,I-STOCK-STRONG-RSI-V01,1,295310,에이치브이엠,2026-03-11,108800,,2026-03-18,96600,-11.21,7,123.0,0.058824
I,internal,I-STOCK-STRONG-RSI-V01,2,050890,쏠리드,2026-03-11,11710,,2026-03-18,13220,12.89,7,121.0,0.058824
I,internal,I-STOCK-STRONG-RSI-V01,3,052020,에스티큐브,2026-03-11,13400,910976099400,2026-03-18,16300,21.64,7,115.0,0.058824
I,internal,I-STOCK-STRONG-RSI-V01,4,376900,로킷헬스케어,2026-03-11,97000,1519164433000,2026-03-18,128700,32.68,7,115.0,0.058824
I,internal,I-STOCK-STRONG-RSI-V01,5,425420,티에프이,2026-03-11,59500,,2026-03-18,57600,-3.19,7,115.0,0.058824
I,internal,I-STOCK-STRONG-RSI-V01,6,032500,케이엠더블유,2026-03-11,24700,1019899333700,2026-03-18,28850,16.8,7,113.0,0.058824
I,internal,I-STOCK-STRONG-RSI-V01,7,015750,성우하이텍,2026-03-11,10650,,2026-03-18,9610,-9.77,7,110.123566,0.058824
I,internal,I-STOCK-STRONG-RSI-V01,8,368770,파이버프로,2026-03-11,16550,,2026-03-18,16960,2.48,7,104.0,0.058824
I,internal,I-STOCK-STRONG-RSI-V01,9,043260,성호전자,2026-03-11,48000,3404295504000,2026-03-18,42500,-11.46,7,96.0,0.058824
I,internal,I-STOCK-STRONG-RSI-V01,10,189300,인텔리안테크,2026-03-11,140100,1504323329700,2026-03-18,127400,-9.06,7,93.249336,0.058824
I,internal,I-STOCK-STRONG-RSI-V01,11,327260,RF머트리얼즈,2026-03-11,66500,,2026-03-18,55700,-16.24,7,93.081958,0.058824
I,internal,I-STOCK-STRONG-RSI-V01,12,174900,앱클론,2026-03-11,73000,,2026-03-18,81000,10.96,7,92.791331,0.058824
I,internal,I-STOCK-STRONG-RSI-V01,13,033160,엠케이전자,2026-03-11,12890,,2026-03-18,14450,12.1,7,91.120846,0.058824
I,internal,I-STOCK-STRONG-RSI-V01,14,010170,대한광통신,2026-03-11,7160,945017325600,2026-03-18,7030,-1.82,7,90.845266,0.058824
I,internal,I-STOCK-STRONG-RSI-V01,15,218410,RFHIC,2026-03-11,89600,2379188403200,2026-03-18,78300,-12.61,7,85.215105,0.058824
I,internal,I-STOCK-STRONG-RSI-V01,16,036830,솔브레인홀딩스,2026-03-11,62400,1308157094400,2026-03-18,55000,-11.86,7,81.336015,0.058824
I,internal,I-STOCK-STRONG-RSI-V01,17,027360,아주IB투자,2026-03-11,6130,742621338780,2026-03-18,7500,22.35,7,80.265814,0.058824
I,internal,I-STOCK-STRONG-RSI-V01,1,007340,DN오토모티브,2026-03-18,37950,,2026-03-25,39200,3.29,7,125.0,0.033333
I,internal,I-STOCK-STRONG-RSI-V01,2,222800,심텍,2026-03-18,59600,2225596192800,2026-03-25,62600,5.03,7,119.0,0.033333
I,internal,I-STOCK-STRONG-RSI-V01,3,445680,큐리옥스바이오시스템즈,2026-03-18,139600,2389928686800,2026-03-25,116900,-16.26,7,115.0,0.033333
I,internal,I-STOCK-STRONG-RSI-V01,4,006260,LS,2026-03-18,282000,8798400000000,2026-03-25,283500,0.53,7,114.0,0.033333
